Operation,EntityCount,ElapsedMs,OpsPerSec,NanosPerOp,MemoryUsedMB,MemoryPerEntity,Implementation
creation_scalability,50,69.80,716.29,1396089.18,17.75,372243.36,Tetree
creation_scalability,100,5.51,18141.69,55121.67,19.75,207093.20,Tetree
creation_scalability,200,18.63,10737.75,93129.38,8.16,42761.80,Tetree
creation_scalability,500,28.08,17806.06,56160.67,18.59,38990.19,Tetree
creation_scalability,1000,89.82,11133.21,89821.33,63.60,66684.64,Tetree
creation_scalability,1500,192.56,7789.63,128375.75,18.14,12680.29,Tetree
creation_scalability,2000,321.09,6228.81,160544.29,107.24,56225.80,Tetree
creation_scalability,2500,502.93,4970.89,201171.17,65.08,27296.35,Tetree
creation_scalability,3000,733.22,4091.55,244406.44,59.80,20902.84,Tetree
creation_scalability,3500,1028.97,3401.45,293991.85,91.94,27545.22,Tetree
creation_scalability,4000,1242.73,3218.72,310682.81,2.18,571.61,Tetree
creation_scalability,5000,1882.10,2656.61,376420.13,54.94,11521.29,Tetree
creation_scalability,6000,2719.61,2206.20,453268.13,65.24,11401.53,Tetree
creation_scalability,7000,3694.47,1894.72,527781.20,33.57,5028.94,Tetree
creation_scalability,8000,4795.71,1668.16,599463.86,110.78,14520.59,Tetree
creation_scalability,10000,7460.48,1340.40,746047.72,5.40,566.32,Tetree
creation_scalability,50000,193269.28,258.71,3865385.55,38.03,797.62,Tetree
memory_usage,1000,88.52,11296.30,88524.54,62.50,65532.90,Tetree
incremental_insertion_baseline,1000,88.23,11334.24,88228.25,62.50,65532.87,Tetree
bulk_insertion_basic,1000,8.19,122088.94,8190.75,1.50,1569.74,Tetree
bulk_insertion_optimized,1000,5.52,181164.90,5519.83,2.00,2094.02,Tetree
create_uniform_random,50,1.14,43947.20,22754.58,0.00,0.00,Tetree
create_uniform_random,100,4.50,22242.30,44959.37,0.50,5211.60,Tetree
create_uniform_random,500,31.09,16083.35,62176.09,17.00,35645.33,Tetree
create_uniform_random,1000,89.55,11166.41,89554.29,62.50,65532.87,Tetree
create_uniform_random,5000,1899.73,2631.95,379946.36,54.92,11516.63,Tetree
create_clustered,50,1.41,35376.64,28267.24,0.00,0.00,Tetree
create_clustered,100,3.15,31714.70,31531.12,1.00,10454.48,Tetree
create_clustered,500,40.84,12242.04,81685.75,20.00,41936.78,Tetree
create_clustered,1000,123.31,8109.69,123309.25,83.50,87552.97,Tetree
create_clustered,5000,2124.34,2353.67,424868.04,17.26,3618.86,Tetree
create_diagonal,50,0.37,135167.28,7398.24,0.00,0.00,Tetree
create_diagonal,100,0.71,140204.28,7132.45,0.00,0.00,Tetree
create_diagonal,500,4.79,104411.93,9577.45,3.55,7438.01,Tetree
create_diagonal,1000,11.45,87310.99,11453.31,14.00,14676.94,Tetree
create_diagonal,5000,128.32,38963.76,25664.87,49.13,10302.28,Tetree
create_surface_aligned,50,0.52,95583.29,10462.08,0.00,0.00,Tetree
create_surface_aligned,100,0.80,124845.35,8009.91,0.00,0.00,Tetree
create_surface_aligned,500,12.83,38966.89,25662.82,6.50,13625.23,Tetree
create_surface_aligned,1000,36.94,27070.88,36940.06,25.00,26211.27,Tetree
create_surface_aligned,5000,698.73,7155.79,139746.96,108.24,22700.30,Tetree
sorted_insertion,10000,5181.48,1929.95,518147.80,143.45,15042.11,Tetree
random_insertion,10000,7823.84,1278.14,782384.03,114.91,12048.92,Tetree
worst_case_creation,1000,248.82,4018.91,248823.54,142.50,149418.95,Tetree
uniform_creation,1000,86.79,11521.88,86791.38,62.50,65532.87,Tetree
