Operation,EntityCount,ElapsedMs,OpsPerSec,NanosPerOp,MemoryUsedMB,MemoryPerEntity,Implementation
creation_scalability,50,5.18,9659.81,103521.66,0.00,0.00,Octree
creation_scalability,100,0.98,101669.00,9835.84,0.00,0.00,Octree
creation_scalability,200,0.94,213361.78,4686.88,0.00,0.00,Octree
creation_scalability,500,2.38,210422.92,4752.33,0.50,1042.32,Octree
creation_scalability,1000,1.95,513039.67,1949.17,1.00,1045.45,Octree
creation_scalability,1500,2.09,717975.08,1392.81,2.00,1396.02,Octree
creation_scalability,2000,2.37,842445.08,1187.02,2.50,1309.16,Octree
creation_scalability,2500,2.72,919850.15,1087.13,3.50,1466.76,Octree
creation_scalability,3000,3.16,948379.09,1054.43,4.00,1397.06,Octree
creation_scalability,3500,3.59,976074.46,1024.51,4.50,1347.28,Octree
creation_scalability,4000,8.53,468903.38,2132.64,5.00,1309.94,Octree
creation_scalability,5000,7.04,710269.24,1407.92,6.50,1362.52,Octree
creation_scalability,6000,9.06,662151.16,1510.23,8.00,1397.58,Octree
creation_scalability,7000,10.34,677045.32,1477.01,9.00,1347.72,Octree
creation_scalability,8000,12.44,643295.84,1554.49,10.50,1375.87,Octree
creation_scalability,10000,16.87,592848.77,1686.77,13.50,1415.26,Octree
creation_scalability,50000,102.52,487727.36,2050.33,67.00,1405.03,Octree
memory_usage,1000,1.65,606213.81,1649.58,1.00,1045.45,Octree
memory_usage,10000,16.67,599808.06,1667.20,13.50,1415.26,Octree
incremental_insertion_baseline,1000,1.49,672005.53,1488.08,1.00,1045.45,Octree
bulk_insertion_basic,1000,2.01,498597.69,2005.63,1.50,1569.74,Octree
bulk_insertion_optimized,1000,1.61,620475.57,1611.67,1.50,1569.74,Octree
create_uniform_random,50,0.42,119434.07,8372.82,0.00,0.00,Octree
create_uniform_random,100,0.56,177818.87,5623.70,0.00,0.00,Octree
create_uniform_random,500,1.32,379196.09,2637.16,0.50,1042.32,Octree
create_uniform_random,1000,2.71,369329.68,2707.61,1.00,1045.14,Octree
create_uniform_random,5000,10.76,464709.41,2151.88,6.50,1362.52,Octree
create_clustered,50,0.41,122059.29,8192.74,0.00,0.00,Octree
create_clustered,100,0.39,254780.32,3924.95,0.00,0.00,Octree
create_clustered,500,1.58,316462.51,3159.93,0.50,1042.32,Octree
create_clustered,1000,2.48,402759.55,2482.87,1.00,1045.45,Octree
create_clustered,5000,11.71,426892.52,2342.51,6.25,1310.10,Octree
create_diagonal,50,0.40,126569.14,7900.82,0.00,0.00,Octree
create_diagonal,100,0.45,223445.21,4475.37,0.00,0.00,Octree
create_diagonal,500,7.20,69427.73,14403.47,2.50,5236.00,Octree
create_diagonal,1000,14.61,68423.81,14614.80,9.50,9958.34,Octree
create_diagonal,5000,200.00,25000.35,39999.44,79.83,16740.71,Octree
create_surface_aligned,50,0.28,177973.31,5618.82,0.00,0.00,Octree
create_surface_aligned,100,0.54,183604.15,5446.50,0.00,0.00,Octree
create_surface_aligned,500,4.65,107633.96,9290.75,2.50,5236.62,Octree
create_surface_aligned,1000,16.38,61033.47,16384.45,9.50,9958.03,Octree
create_surface_aligned,5000,197.24,25349.85,39447.97,79.81,16737.68,Octree
sorted_insertion,10000,10.99,909959.51,1098.95,13.50,1415.26,Octree
random_insertion,10000,16.15,619019.38,1615.46,13.50,1415.26,Octree
worst_case_creation,1000,3.05,328079.47,3048.04,0.50,521.16,Octree
uniform_creation,1000,2.61,382488.45,2614.46,1.00,1045.45,Octree
